absorb			/ Eb5sR:b/  vt.吸收；使专心
demonstrate		/ 5demEnstreit/  vt.说明；论证；表露
dense			/ dens/  a。密集的；浓厚的
density		/ 5densiti/  n。密集，稠密；密度
deny			/ di5nai/  vt。否定；拒绝相信
depart			/ di5pa：t/  vi。离开，起程；出发
department		/ di5pa：tmEnt/  n。部,司,局，处，系
departure		/ di5pa:tFE/  n.离开，出发，起程
dependent		/ di5pendEnt/  a.依靠的，依赖的
deposit		/ di5pRzit/  vt.使沉淀；存放
depress		/ di5pres/  vt.使沮丧；按下
depth			/ depW/  n。深度;深厚；深处
derive			/ di5raiv/  vt。取得 vi。起源
descend		/ di5send/  vi。下来，下降；下倾
describe		/ dis5kraib/  vt.形容；描写,描绘
description		/ dis5kripFEn/  n。描写,形容；种类
desert			/ 5dezEt, di5zE:t/  n.沙漠 vt.离弃；擅离
deserve		/ di5zE:v/  vt.应受，值得
design			/ di5zain/  vt。设计 n.设计；图样
desirable		/ di5zaiErEbl/  a.值得相望的；可取的
desire			/ di5zaiE/  vt。相望；要求 n.愿望
despair		/ dis5pZE/  n.绝望 vi.绝望
desperate		/ 5despErit/  a.拼死的；绝望的
despite		/ dis5pait/  prep.不管,不顾
destination		/ desti5neiFEn/  n.目的地，终点；目标
destruction		/ dis5trQkFEn/  n。破坏，毁灭，消灭
detail			/ 5di:teil/  n.细节；枝节;零件
detect			/ di5tekt/  vt。察觉,发觉；侦察
detection		/ di5tekFEn/  n。察觉，发觉；侦察
determination		/ ditE:mi5neiFEn/  n.决心；决定；确定
determine		/ di5tE:min/  vt.决定；查明;决心
device			/ di5vais/  n.器械，装置；设计
devil			/ 5devl/  n.魔鬼,恶魔
devise			/ di5vaiz/  vt.设计，发明
devote			/ di5vEut/  vt.将…奉献，致力于
diagram		/ 5daiEgrAm/  n.图解,图表，简图
dial			/ 5daiEl/  n。钟面；拨号盘 vt。拨
dialect		/ 5daiElekt/  n.方言，土语，地方话
diameter		/ dai5AmitE/  n。直径
diamond		/ 5daiEmEnd/  n.金钢石，钻石；菱形
dictate		/ dik5teit/  vt.＆vi。口授；命令
digital		/ 5didVitl/  a.数字的，计数的
dim			/ dim/  a.昏暗的；朦胧的
dimension		/ di5menFEn/  n。尺寸，尺度；面积
dip			/ dip/  vt.浸，蘸 vi。浸一浸
director		/ di5rektE/  n。指导者；理事；导演
dirt			/ dE:t/  n.尘，土；污物，污垢
disadvantage		/ disEd5va:ntidV/  n。不利，不利地位
disagree		/ disE5gri:/  vi。有分歧；不一致
disappear		/ disE5piE/  vi.不见，失踪；消失
disappoint		/ disE5pRint/  vt。使失望，使受挫折
disaster		/ di5za:stE/  n.灾难,灾祸；天灾
disk			/ disk/  n.圆盘，唱片；磁盘
disc			/ disk/  n.圆盘,唱片；磁盘
discard		/ dis5ka:d/  vt。丢弃,抛弃，遗弃
discharge		/ dis5tFa：dV/  vt.释放；排出 n。释放
discipline		/ 5disiplin/  n.纪律；训练 vt。训练
discourage		/ dis5kQridV/  vt.使泄气，使灰心
discover		/ dis5kQvE/  vt。发现；暴露，显示
discovery		/ dis5kQvEri/  n.发现；被发现的事物
discussion		/ dis5kQFEn/  n。讨论，谈论;论述
disgust		/ dis5gQst/  n.厌恶，憎恶
dish			/ diF/  n.碟，盘子；菜肴
dismiss		/ dis5mis/  vt.不再考虑；解雇
disorder		/ dis5R：dE/  n。混乱，杂乱；骚乱
display		/ dis5plei/  vt.陈列，展览；显示
disposal		/ dis5pEuzEl/  n。丢掉,处理，销毁
dispose		/ dis5pEuz/  vi.去掉，丢掉;销毁
dispute		/ dis5pju:t/  vi。争论，争执 n.争论
dissolve		/ di5zRlv/  vt.使溶解；解散
distance		/ 5distEns/  n。距离，间距；远处
distant		/ 5distEnt/  a。在远处的，疏远的
distinct		/ dis5tiNkt/  a。与其他不同的
distinction		/ dis5tiNkFEn/  n.差别，不同，区分
distress		/ dis5tres/  n.忧虑,悲伤;不幸
distribute		/ dis5tribju:t/  vt。分发，分送;分布
distribution		/ distri5bju：FEn/  n。分发，分配；分布
district		/ 5distrikt/  n。区;地区，区域
disturb		/ dis5tE：b/  vt。打扰，扰乱；弄乱
ditch			/ ditF/  n.沟，沟渠，渠道
dive			/ daiv/  vi。跳水；潜水；俯冲
diverse		/ dai5vE:s/  a.不一样的，相异的
divide			/ di5vaid/  vt。分;分配;分开
division		/ di5viVEn/  n。分，分配；除法
document		/ 5dRkjumEnt/  n.公文，文件；证件
domestic		/ dE5mestik/  a。本国的；家庭的
donkey			/ 5dRNki/  n.驴；笨蛋
dorm			/ dR:m/  n。宿舍
dormitory		/ 5dR：mitri/  n.集体寝室；宿舍
dose			/ dEus/  n。剂量，用量；一剂
dot			/ dRt/  n。点，圆点 vt.打点于
doubtful		/ 5dautful/  a。难以预测的；怀疑的
downstairs		/ 5daun5stZEz/  ad。在楼下 a。楼下的
draft			/ dra：ft/  n。草稿；汇票 vt。起草
drag			/ drAg/  vt。拖,拉；拖曳
drain			/ drein/  vt。排去；放水 n。耗竭
drama			/ 5dra:mE/  n。一出戏剧，剧本
dramatic		/ drE5mAtik/  a。引人注目的,戏剧的
drawing		/ 5drR:iN/  n。图画，素描;绘图
drift			/ drift/  vi.漂流，漂泊 n.漂流
drill			/ dril/  n。钻头；操练 vi.钻孔
drip			/ drip/  vi.滴下；漏水 n。水滴
drown			/ draun/  vi.淹死，溺死
drum			/ drQm/  n。鼓；鼓状物，圆桶
due			/ dju:/  a.预期的；应给的
dull			/ dQl/  a.枯燥的;不鲜明的
dump			/ dQmp/  vt。倾卸，倾倒;倾销
durable		/ 5djuErEbl/  a.耐久的，耐用的
duration		/ djuE5reiFEn/  n.持续，持久
dusk			/ dQsk/  n.薄暮，黄昏，幽暗
dye			/ dai/  vt。染 n.染料；染色
dynamic		/ dai5nAmik/  a。有活力的；动力的
eagle			/ 5i：gl/  n.鹰
earn			/ E:n/  vt。赚得，挣得；获得
earnest		/ 5E:nist/  a。认真的，诚恳的
ease			/ i:z/  n。容易，舒适 vt.缓和
eastern		/ 5i：stEn/  a.东方的；朝东的
easy			/ 5i:zi/  a。容易的；安逸的
echo			/ 5ekEu/  n.回声，反响 vi。重复
economical		/ i：kE5nRmikEl/  a。节约的；经济学的
effect			/ i5fekt/  n。结果；效果，效力
effective		/ i5fektiv/  a。有效的；有影响的
efficiency		/ i5fiFEnsi/  n。效率；功效,效能
efficient		/ i5fiFEnt/  a。效率高的，有能力的
effort			/ 5efEt/  n。努力；努力的成果
elaborate		/ i5lAbErit/  a。复杂的；精心制作的
elastic		/ i5lAstik/  n。松紧带 a。有弹性的
elder			/ 5eldE/  a。年龄较大的 n。长者
election		/ i5lekFEn/  n。选举，选择权；当选
electrical		/ i5lektrikEl/  a。电的，电气科学的
electron		/ i5lektrRn/  n。电子
electronic		/ ilek5trRnik/  a。电子的
elementary		/ eli5mentEri/  a.基本的;初级的
elevator		/ 5eliveitE/  n。电梯;升降机
eliminate		/ i5limineit/  vt.消灭，消除，排除
elsewhere		/ els5wZE/  ad.在别处，向别处
embarrass		/ im5bArEs/  vt。使窘迫,使为难
embrace		/ im5breis/  vt。拥抱；包括；包围
emerge			/ i5mE：dV/  vi。出现，涌现；冒出
emergency		/ i5mE:dVEnsi/  n.紧急情况，突然事件
emit			/ i5mit/  vt.散发；发射;发表
emotion		/ i5mEuFEn/  n。情感，感情；激动
emotional		/ i5mEuFEnl/  a。感情的，情绪的
emperor		/ 5empErE/  n。皇帝
emphasis		/ 5emfEsis/  n.强调，重点，重要性
emphasize		/ 5emfEsaiz/  vt.强调，着重
empire			/ 5empaiE/  n。帝国
employ			/ im5plRi/  vi.雇用；用；使忙于
employee		/ emplRi5i：/  n.受雇者，雇员,雇工
employer		/ im5plRiE/  n。雇佣者，雇主
employment		/ im5plRimEnt/  n。工业；雇用；使用
enable			/ i5neibl/  vt.使能够，使可能
enclose		/ in5klEuz/  vt.围住，圈起;附上
encounter		/ in5kauntE/  vt。遭遇，遇到 n.遭遇
encourage		/ in5kQridV/  vt.鼓励，支持，助长
ending			/ 5endiN/  n。结尾，结局；死亡
endure			/ in5djuE/  vt.忍受；容忍
enemy			/ 5enimi/  n。敌人；仇敌；敌兵
enforce		/ in5fR：s/  vt.实施，执行；强制
engage			/ in5geidV/  vt。使从事于；聘用
engineering		/ endVi5niEriN/  n。工程，工程学
enormous		/ i5nR:mEs/  a。巨大的，庞大的
enquire		/ in5kwaiE/  vi.vt。 询问
enquiry		/ /  n。 询问
ensure			/ in5FuE/  vt.保证；保护；赋予
entertain		/ entE5tein/  vt。使欢乐；招待
enthusiasm		/ in5Wju:ziAzEm/  n。热情，热心,热忱
entire			/ in5taiE/  a。全部的，整个的
entitle		/ in5taitl/  vt。给…权利（或资格)
entrance		/ 5entrEns/  n。入口,门口；进入
equality		/ i(：）5kwRliti/  n.等同，平等；相等
equation		/ i5kweiFEn/  n.方程（式)；等式
equip			/ i5kwip/  vt。装备，配备
equivalent		/ i5kwivElEnt/  a.相等的；等量的
era			/ 5iErE/  n.时代，年代;纪元
erect			/ i5rekt/  vt.建造；使竖立
essay			/ 5esei/  n。短文，散文,小品文
essential		/ i5senFEl/  a.必要的，本质的
establish		/ is5tAbliF/  vt。建立,设立；确立
establishment		/ is5tAbliFmEnt/  n。建立，设立，确立
estimate		/ 5estimit, 5estimeit/  vt。估计，评价 n。估计
evaporate		/ i5vApEreit/  vt.使蒸发 vi.蒸发
eve			/ i:v/  n。前夜,前夕，前一刻
even			/ 5i:vEn/  a.均匀的；平的
evening		/ 5i:vniN/  n。傍晚，黄昏,晚上
eventually		/ i5ventjuEli/  ad.终于；最后
evident		/ 5evidEnt/  a.明显的，明白的
evolution		/ i:vE5lju：FEn/  n。进化，演化；发展
evolve			/ i5vRlv/  vt.使进化；使发展
exaggerate		/ ig5zAdVEreit/  vt.＆vi。夸大，夸张
examine		/ ig5zAmin/  vt.检查，仔细观察
exceed			/ ik5si：d/  vt.超过，胜过；超出
exceedingly		/ ik5si：diNli/  ad。极端地，非常
excellent		/ 5eksElEnt/  a.优秀的,杰出的
exception		/ ik5sepFEn/  n.例外，除外
excess			/ ik5ses, 5ekses/  n。超越;过量；过度
excessive		/ ik5sesiv/  a.过多的,极度的
excite			/ ik5sait/  vt.使激动；引起
exclaim		/ iks5kleim/  vi。呼喊;惊叫
exclude		/ iks5klu：d/  vt.把…排除在外
exclusively		/ iks5klu:sivli/  ad.专门地
excursion		/ iks5kE：FEn/  n。远足;短途旅行
execute		/ 5eksikju：t/  vt。将…处死;实施
executive		/ ig5zekjutiv/  a。执行的 n.执行者
exercise		/ 5eksEsaiz/  n.锻炼，训练 vi。练习
exert			/ ig5zE：t/  vt。尽(力），运用
exhibit		/ ig5zibit/  vt.显示；陈列，展览
exhibition		/ eksi5biFEn/  n。展览，陈列；展览会
existence		/ ig5zistEns/  n.存在，实在；生存
expansion		/ iks5pAnFEn/  n。扩大，扩充；扩张
explode		/ iks5plEud/  vt.使爆炸 vi.爆炸
exploit		/ 5eksplRit, iks5plRit/  vt.剥削；利用；开拓
explore		/ iks5plR:/  vt.＆vi.探险，探索
explosion		/ iks5plEuVEn/  n。爆炸，爆发,炸裂
explosive		/ iks5plEusiv/  n.炸药 a。爆炸的
expose			/ iks5pEuz/  vt。使暴露；揭露
exposure		/ iks5pEuVE/  n。暴露；揭露；曝光
express		/ iks5pres/  vt.表示 n.快车，快递
extension		/ iks5tenFEn/  n。延长部分;伸展
extensive		/ iks5tensiv/  a.广阔的；广泛的
extent			/ iks5tent/  n。广度;范围；程度
exterior		/ eks5tiEriE/  a。外部的；对外的
external		/ eks5tE:nl/  a.外部的,外面的
extraordinary		/ iks5trR:dinEri/  a.非同寻常的，特别的
extreme		/ iks5tri:m/  a.极度的；尽头的
eyesight		/ 5aisait/  n。视力，目力
fabric			/ 5fAbrik/  n。织物，纺织品;结构
facility		/ fE5siliti/  n.设备；容易;便利
factor			/ 5fAktE/  n.因素；因子,系数
faculty		/ 5fAkElti/  n。才能,能力；系，科
fade			/ feid/  vi。褪色;逐渐消失
faint			/ feint/  a.微弱的；虚弱的
fair			/ fZE/  n.定期集市；博览会
fairly			/ 5fZEli/  ad.相当;公平地
fame			/ feim/  n。名声，名望
famine			/ 5fAmin/  n。饥荒；严重的缺乏
fare			/ fZE/  n。车费,船费,票价
farewell		/ 5fZE5wel/  int.再会 n。告别
fashionable		/ 5fAFEnEbl/  a.流行的，时髦的
fast			/ fa：st/  a。快的；偏快的 ad.快
fasten			/ 5fa:sn/  vt。扎牢,扣住
fatal			/ 5feitl/  a。致命的；命运的
fate			/ feit/  n。命运,天数
fatigue		/ fE5ti:g/  n。疲劳，劳累
faulty			/ 5fR：lti/  a.有错误的，有缺点的
favour			/ 5feivE/  n。好感;赞同；恩惠
favourable		/ 5feivErEbl/  a.有利的;赞成的
feasible		/ 5fi:zEbl/  a.可行的；可能的
feature		/ 5fi：tFE/  n。特征，特色;面貌
federal		/ 5fedErEl/  a。联邦的；联盟的
feedback		/ 5fi:dbAk/  n.回授，反馈，反应
feeling		/ 5fi:liN/  n.感情;感觉，知觉
fellow			/ 5felEu/  n.人，家伙；伙伴
fence			/ fens/  n。栅栏
fertile		/ 5fE:tail/  a。肥沃的;多产的
fertilizer		/ 5fE:tilaizE/  n。肥料
fetch			/ fetF/  vt。拿来；请来，接去
fibre			/ 5faibE/  n。纤维，纤维质
fiction		/ 5fikFEn/  n.小说；虚构，杜撰
fierce			/ fiEs/  a.凶猛的，狂热的
figure			/ 5figE/  n。数字；外形；人物
file			/ fail/  n.档案 vt。把…归档
fill			/ fil/  vt。装满,盛满;占满
filter			/ 5filtE/  vt。过滤 n。滤纸
flame			/ fleim/  n.火焰；光辉;热情
flavour		/ 5fleivE/  n。味，味道；风味
fleet			/ fli:t/  n.舰队;船队,机群
flesh			/ fleF/  n.肉，肌肉;肉体
flexible		/ 5fleksEbl/  a.易弯曲的；灵活的
flight			/ flait/  n。航班；飞行；逃跑
float			/ flEut/  vi。漂浮 vt.使漂浮
flock			/ flRk/  n。羊群,群；大量
flourish		/ 5flQriF/  vi。繁荣,茂盛，兴旺
flow			/ flEu/  vi。流动;飘垂；涨潮
fluent			/ 5flu(：)Ent/  a.流利的，流畅的
fluid			/ 5flu(：)id/  n。流体，液体
focus			/ 5fEukEs/  vi.聚焦，注视 n.焦点
fog			/ fRg/  n.雾;烟雾，尘雾
fold			/ fEuld/  vt。折叠；合拢 n。褶
folk			/ fEulk/  n.人们，家属，亲属
footstep		/ 5futstep/  n。脚步；脚步声；足迹
forehead		/ 5fRrid, 5fR：hed/  n.额头，前部
forge			/ fR:dV/  n. 熔炉,铁工厂 vt. 打制,锻造,伪造
fork			/ fR：k/  n.餐叉;叉；分叉
formula		/ 5fR：mjulE/  n.公式，式
forth			/ fR:W/  ad。向前；向外，往外
fortnight		/ 5fR：tnait/  n。两星期，十四天
fortunate		/ 5fR：tFEnit/  a.幸运的，侥幸的
fortunately		/ 5fR:tFEnitli/  ad.幸运地，幸亏
foundation		/ faun5deiFEn/  n。基础；地基；基金
fountain		/ 5fauntin/  n。泉水，喷泉;源泉
fox			/ fRks/  n.狐狸；狡猾的人
fraction		/ 5frAkFEn/  n.小部分；片断；分数
fragment		/ 5frAgmEnt/  n.碎片，破片，碎块
frame			/ freim/  n.框架,框子;构架
framework		/ 5freimwE:k/  n。框架，构架，结构
frank			/ frANk/  a.坦白的，直率的
freeze			/ fri:z/  vi.冻；结冻vt.使结冰
freight		/ freit/  n。货运；货物；运费
frequency		/ 5fri:kwEnsi/  n。屡次；次数；频率
frequent		/ 5fri：kwEnt/  a.时常发生的;经常的
friction		/ 5frikFEn/  n。摩擦,摩擦力
frighten		/ 5fraitn/  vt。使惊恐，吓唬
frog			/ frRg/  n。蛙
frontier		/ 5frQntjE/  n。边境；边疆；新领域
frost			/ frRst/  n。冰冻，严寒；霜
frown			/ fraun/  vi.皱眉,蹙额
fruitful		/ 5fru：tful/  a.多产的；肥沃的
fry			/ frai/  vt。油煎，油炸，油炒
fuel			/ fjuEl/  n.燃料 vt。给…加燃料
fulfil			/ ful5fil/  vt。履行；满足；完成
function		/ 5fQNkFEn/  n.功能；职务；函数
fund			/ fQnd/  n。资金；基金;存款
fundamental		/ fQndE5mentl/  a.基础的，基本的
funeral		/ 5fju:nErEl/  n。葬礼，丧礼，丧葬
funny			/ 5fQni/  a。古怪的;滑稽的
furnace		/ 5fE:nis/  n.炉子，熔炉；鼓风炉
furnish		/ 5fE:niF/  vt.供应,提供;装备
furniture		/ 5fE：nitFE/  n.家具；装置，设备
furthermore		/ 5fE:TE5mR：/  ad。而且，此外
gallon			/ 5gAlEn/  n.加仑
garage			/ 5gAra：V/  n.车库；加油站
garden			/ 5ga:dn/  n。花园，菜园；公园
gardener		/ 5ga：dnE/  n。园丁，花匠
gaseous		/ 5geizjEs/  a。气体的，气态的
gasoline		/ 5gAsEli:n/  n.（美)汽油
gauge			/ geidV/  vt。量，测量 n.量器
gay			/ gei/  a。快乐的；鲜明的
generate		/ 5dVenEreit/  vt.发生；引起；生殖
generator		/ 5dVenEreitE/  n.发电机；发生者
generous		/ 5dVenErEs/  a.慷慨的；宽厚的
genius			/ 5dVi：njEs/  n。天才,天赋,天资
gentle			/ 5dVentl/  a.和蔼的；轻柔的
genuine		/ 5dVenjuin/  a。真的;真正的
geography		/ dVi5RgrEfi/  n。地理，地理学
geometry		/ dVi5Rmitri/  n.几何，几何学
germ			/ dVE:m/  n。微生物，细菌，幼芽
gesture		/ 5dVestFE/  n.姿势，手势；姿态
ghost			/ gEust/  n.鬼，灵魂；鬼魂
giant			/ 5dVaiEnt/  n。巨人；巨物
glance			/ gla：ns/  vi.看一下 n。一瞥
glass			/ gla:s/  n.玻璃;玻璃杯
glimpse		/ glimps/  vt.瞥见 n。一瞥，一看
globe			/ glEub/  n.地球,世界；地界仪
glorious		/ 5glR:riEs/  a.光荣的；壮丽的
glory			/ 5glR:ri/  n.光荣；荣誉的事
glow			/ glEu/  n.白热光 vi。发白热光
glue			/ glu:/  n.胶，胶水 vt。胶合
goat			/ gEut/  n。山羊
goose			/ gu:s/  n。鹅，雌鹅
governor		/ 5gQvEnE/  n。州长；主管人员
grace			/ greis/  n。优美，文雅；雅致
grade			/ greid/  vt.给…分等级 n。等级
gradual		/ 5grAdjuEl/  a。逐渐的；渐进的
grain			/ 5grein/  n.谷物,谷粒;颗粒
grammatical		/ grE5mAtikEl/  a.语法上的
gramme			/ grAm/  n. 克
grand			/ grAnd/  a.宏伟的；重大的
grant			/ gra:nt/  n.授给物 vt。授予
graph			/ grAf/  n。(曲线）图，图表
grateful		/ 5greitful/  a。感激的；令人愉快的
gratitude		/ 5grAtitju：d/  a。感激，感谢，感恩
grave			/ greiv/  n.坟墓 a。严重的
gravity		/ 5grAviti/  n。重力，引力；严重性
gray			/ grei/  a.灰色的 n.灰色
great			/ greit/  a。大的；伟大的
greedy			/ 5gri:di/  a。贪吃的；贪婪的
Greek			/ gri:k/  a.希腊的 n.希腊人
green			/ gri：n/  a。绿色的 n.绿色
grey			/ grei/  a.灰色的 n。灰色
grind			/ graind/  vt。磨(碎);磨快
grip			/ grip/  vt。握紧,抓牢 n.紧握
grocer			/ 5grEusE/  n.食品商；杂货商
gross			/ grEus/  a.总的；严重的
guard			/ ga：d/  vt.守卫;看守 n。卫兵
guidance		/ 5gaidEns/  n.引导,指导，领导
guilty			/ 5gilti/  a.内疚的；有罪的
gulf			/ gQlf/  n.海湾
gum			/ gQm/  n.口香糖;树胶
gym			/ dVim/  n.体育馆，健身房
gymnasium		/ dVim5neizjEm/  n。体育馆，健身房
halt			/ hR：lt/  vi.停止；立定 n。停住
hammer			/ 5hAmE/  n。锤，榔头 vt.锤击
handle			/ 5hAndl/  n.柄,把手 vt。拿，触
harbour		/ 5ha：bE/  n.海港，港口 vt.庇护
harden			/ 5ha：dn/  vt。使变硬 vi.变硬
hardship		/ 5ha:dFip/  n。艰难，困苦
hardware		/ 5ha:dwZE/  n.五金器具；硬件
harm			/ ha:m/  n。伤害,损害 vt.损害
harmony		/ 5ha:mEni/  n.调合，协调，和谐
harness		/ 5ha:nis/  vt。治理 n.马具，挽具
harsh			/ ha:F/  a.严厉的；刺耳的
hatred			/ 5heitrid/  n。憎恶，憎恨，仇恨
hay			/ hei/  n.干草
hazard			/ 5hAzEd/  n。危险;公害
headquarters		/ 5hed5kwR:tEz/  n。司令部;总部
heap			/ hi：p/  n.（一）堆;大量
heat			/ hi:t/  n.热,炎热 vi。变热
heaven			/ 5hevn/  n。天堂；天，天空
hedge			/ hedV/  n.篱笆,树篱；障碍物
heel			/ hi：l/  n。脚后跟，踵，后跟
height			/ hait/  n。高,高度；高处
helicopter		/ 5helikRptE/  n。直升机
hell			/ hel/  n.地狱;极大的痛苦
hence			/ hens/  ad。因此，所以；今后
herd			/ hE:d/  n。兽群，牧群 vt.放牧
heroic			/ hi5rEuik/  a。英雄的;英勇的
hesitate		/ 5heziteit/  vi。犹豫，踌躇；含糊
highway		/ 5haiwei/  n。公路；大路
hillside		/ 5hil5said/  n。（小山)山腰,山坡
hollow			/ 5hRlEu/  a。空的；空洞的
holy			/ 5hEuli/  a。神圣的；圣洁的
honourable		/ 5RnErEbl/  a。诚实的；光荣的
hook			/ huk/  n。钩，挂钩 vt。钩住
horizon		/ hE5raizn/  n.地平线；眼界,见识
horizontal		/ hRri5zRntl/  a。地平的；水平的
horn			/ hR：n/  n.号角；警报器；角
horror			/ 5hRrE/  n.恐怖；战栗;憎恶
horsepower		/ 5hR:spauE/  n.马力
hostile		/ 5hRstail/  a.敌方的；不友善的
humble			/ 5hQmbl/  a。谦逊的；地位低下的
humorous		/ 5hju:mErEs/  a。富于幽默的，诙谐的
hundred		/ 5hQndrid/  num。百，百个 n.许多
hut			/ hQt/  n。小屋,棚屋
hydrogen		/ 5haidridVEn/  n。氢
identical		/ ai5dentikEl/  a.完全相同的；同一的
identify		/ ai5dentifai/  vt.认出,识别，鉴定
idle			/ 5aidl/  a.空闲的；懒散的
ignorant		/ 5ignErEnt/  a。不知道的；无知的
illegal		/ i5li:gEl/  a.不合法的，非法的
illustrate		/ 5ilEstreit/  vt.（用图等）说明
illustration		/ ilEs5treiFEn/  n。说明，图解；例证
imitate		/ 5imiteit/  vt。模仿,仿效；仿制
immense		/ i5mens/  a.巨大的；极好的
immigrant		/ 5imigrEnt/  n。移民 a。移民的
impact			/ 5impAkt/  n。影响,作用；冲击
impatient		/ im5peiFEnt/  a。不耐烦的，急躁的
implication		/ impli5keiFEn/  n.含义，暗示,暗指
import			/ im5pR：t 5impR:t/  vt。&n。输入，进口
importance		/ im5pR:tEns/  n。重要；重要性
important		/ im5pR:tEnt/  a。重要的；有势力的
impose			/ im5pEuz/  vt。把…强加；征（税）
impossible		/ im5pRsEbl/  a。不可能的，办不到的
impress		/ im5pres， 5impres/  vt.给…深刻印象
impression		/ im5preFEn/  n。印;印象；印记
impressive		/ im5presiv/  a.给人印象深刻的
incline		/ in5klain/  n.斜坡 vt.使倾斜
index			/ 5indeks/  n。索引；指数；指标
indicate		/ 5indikeit/  vt.标示，表示；表明
indication		/ indi5keiFEn/  n。指示；表示；表明
indifferent		/ in5difrEnt/  a.冷漠的;不积极的
indirect		/ indi5rekt/  a。间接的；不坦率的
indispensable		/ indis5pensEbl/  a。必不可少的，必需的
individual		/ indi5vidjuEl/  a。个别的；独特的
indoors		/ in5dR:z/  ad。在室内,在屋里
industrial		/ in5dQstriEl/  a.工业的；产业的
industrialize		/ in5dQstriElaiz/  vt。使工业化
inevitable		/ in5evitEbl/  a。不可避免的，必然的
infant			/ 5infEnt/  n。婴儿 a.婴儿的
infect			/ in5fekt/  vt.传染；感染
infer			/ in5fE：/  vt.推论，推断；猜想
inferior		/ in5fiEriE/  a。下等的;劣等的
infinite		/ 5infinit/  a。无限的；无数的
influential		/ influ5enFEl/  a.有影响的；有权势的
inform			/ in5fR：m/  vt。通知，向…报告
information		/ infE5meiFEn/  n.消息，信息；通知
inhabitant		/ in5hAbitEnt/  n.居民，住户
inherit		/ in5herit/  vt.继承（传统等)
initial		/ i5niFEl/  a.最初的;词首的
injection		/ in5dVekFEn/  n。注射，注入；充满
injure			/ 5indVE/  vt。伤害，损害，损伤
injury			/ 5indVEri/  n.损害,伤害;受伤处
ink			/ iNk/  n.墨水，油墨
inn			/ in/  n.小旅店；小酒店
innocent		/ 5inEsnt/  a。清白的，幼稚的
input			/ 5input/  n。输入；投入的资金
inquire		/ in5kwaiE/  vt。打听，询问；调查
inquiry		/ in5kwaiEri/  n.询问,打听；调查
insect			/ 5insekt/  n.昆虫，虫
insert			/ in5sE:t， 5insE:t/  vt。插入； 嵌入; 登载
inside			/ in5said/  prep。在…里面 n。内部
insist			/ in5sist/  vi.坚持；坚持要求
inspect		/ in5spekt/  vt。检查，审查；检阅
inspire		/ in5spaiE/  vt。鼓舞;给…以灵感
install		/ in5stR：l/  vt.安装,设置
installation		/ instE5leiFEn/  n。安装；装置;设施
instance		/ 5instEns/  n.例子，实例，事例
instant		/ 5instEnt/  n.瞬间 a。立即的
instead		/ in5sted/  ad.代替，顶替;反而
instinct		/ 5instiNkt/  n.本能；直觉；生性
institute		/ 5institju：t/  n。研究所；学院
institution		/ insti5tju:FEn/  n。协会；制度，习俗
instruct		/ in5strQkt/  vt。教；指示；通知
instruction		/ in5strQkFEn/  n.命令；教学；教训
instrument		/ 5instrumEnt/  n。仪器；工具；乐器
insult			/ 5insQlt, in5sQlt/  vt。&n。侮辱，凌辱
insurance		/ in5FuErEns/  n.保险；保险费
insure			/ in5FuE/  vt。给…保险；确保
intellectual		/ inti5lektjuEl/  n。知识分子 a。智力的
intelligence		/ in5telidVEns/  n。智力；理解力；情报
intelligent		/ in5telidVEnt/  a.聪明的；理智的
intend			/ in5tend/  vt.想要，打算；意指
intense		/ in5tens/  a。强烈的；紧张的
intensity		/ in5tensiti/  n.强烈，剧烈；强度
intensive		/ in5tensiv/  a。加强的；精耕细作的
intention		/ in5tenFEn/  n。意图，意向，目的
interaction		/ intE5rAkFEn/  n.相互作用;干扰
interfere		/ intE5fiE/  vi。干涉，干预；妨碍
interference		/ intE5fiErEns/  n。干涉，干预;阻碍
interior		/ in5tiEriE/  a.内的；内地的n.内部
intermediate		/ intE5mi:djEt/  a。中间的；中级的
internal		/ in5tE：nl/  a.内的；国内的
international		/ intE(：)5nAFEnl/  a.国际的,世界（性）的
interpret		/ in5tE:prit/  vt.解释,说明；口译
interpretation		/ intE：pri5teiFEn/  n.解释；口译
interrupt		/ intE5rQpt/  vt。打断，打扰；中止
interval		/ 5intEvEl/  n。间隔；休息；间距
intimate		/ 5intimit/  a.亲密的;个人的
introduction		/ intrE5dQkFEn/  n。介绍;引进;引言
invade			/ in5veid/  vt。入侵,侵略；侵袭
invasion		/ in5veiVEn/  n.入侵，侵略；侵犯
investigate		/ in5vestigeit/  vt.&vi。调查
investment		/ in5vestmEnt/  n。投资，投资额，投入
invisible		/ in5vizEbl/  a。看不见的，无形的
invitation		/ invi5teiFEn/  n.邀请，招待；请柬
involve		/ in5vRlv/  vt。使卷入；牵涉
inward			/ 5inwEd/  a。里面的 ad.向内
iron			/ 5aiEn/  n。铁；烙铁 vt。烫(衣）
isolate		/ 5aisEleit/  vt。使隔离,使孤立
issue			/ 5iFu:/  n。问题；发行 vt。发行
jam			/ dVAm/  n.果酱
jam			/ dVAm/  vt.使塞满；使堵塞
jar			/ dVa:/  n.罐子，坛子，广口瓶
jaw			/ dVR:/  n。颌，颚
jazz			/ dVAz/  n。爵士音乐,爵士舞曲
jealous		/ 5dVelEs/  a.妒忌的；猜疑的
jet			/ dVet/  n.喷气式飞机；喷嘴
